"#","ASO","Date Signed","Date Last Updated","# Tron Addresses","# Binance Accounts","Target"
1,44/21,06/30/2021,01/07/2021,10,0,Hamas 
2,79/21,12/29/2021,12/29/2021,0,47,Al Mutahatum for Exchange
3,10/22,02/22/2022,02/22/2022,0,12,Al Mutahatum for Exchange
4,15/22,03/07/2022,03/07/2022,46,1,Dubai Co. for Exchange
5,1/23,01/12/2023,02/09/2023,0,2,ISIS
6,5/23,01/12/2023,01/12/2023,0,45,Al Mutahatum for Exchange
7,15/23,04/04/2023,04/04/2023,0,1,Mahmoud Dadah
8,19/23,04/21/2023,04/23/2023,5,77,"Al Mutahatum for Exchange, Dubai Co. for Exchange, Al Wefaq for Exchange"
9,29/23,05/21/2023,06/28/2023,39,12,Hezbollah
10,34/23,07/04/2023,07/05/2023,26,67,PIJ
11,51/23,10/28/2023,10/29/2023,0,6,Hezbollah
12,53/23,10/20/2023,10/22/2023,17,0,unspecified
