num,wallet,date_created,date_most_recent,aso,aso_line_num,note
1,TBfJfBYSpVPLDoFzvg3zCnc4Kvpb48cME5,2021-10-14 19:38:39,2022-04-05 02:19:18,15/22,2,1st line number is a 0x address
2,TC7VZ9F3v34byjjdLN9t9c3juzfBisPE4u,2022-12-12 00:42:06,2022-12-12 04:47:27,15/22,3,
3,TD7j5eNShnrSsGb3of8vpe1XXfUNrheeFh,2021-05-24 13:38:18,2023-01-28 10:27:27,15/22,4,
4,TDX3tFFdWFwhBP7Cf5gJRpADpUNxQsys6m,2021-11-23 16:26:00,2022-04-17 06:15:03,15/22,5,
5,TEtJTCuFEzY6jjVNzFtbWGMfrHzfE2aGKU,2021-06-24 17:52:18,2023-01-06 14:30:57,15/22,6,
6,TETZBHSy22wSaufVE1GhNBiDdTYGBJ6aZk,2021-12-08 08:24:03,2021-12-19 03:37:30,15/22,7,
7,TGBYT9Kfs7Za2yWf2TCka5kZq942tKPUAq,2021-08-11 15:07:57,2022-08-18 14:06:03,15/22,8,
8,TGfH7imvH9h6yxusNNPkkwrDzKCg7kFDTf,2021-02-23 05:51:18,2023-06-18 17:28:45,15/22,9,
9,TGhZ3tPL68rWdqfFivhksoRgEp6uwvG1N7,2021-03-01 15:17:00,2022-11-02 18:09:33,15/22,10,not in Anton's list b/c copy from OG pdf is wrong
10,TGS7VL1sHwGnufrQA42GhqHntwcyfNfdt3,,,15/22,11,
11,THB6eY4f85GUab3hdXHhNb53AX1vRzJ83s,2021-02-06 09:37:21,2023-03-17 18:44:06,15/22,12,
12,THL7VtZrHia3fm4UqycAUC8JwodjSqBVxx,2022-12-12 10:05:45,2023-08-07 02:16:30,15/22,13,
13,THNdB4SiwNGibexaigr4YYTZzFRXZGAAox,2021-12-03 03:22:39,2023-03-11 13:24:24,15/22,14,
14,THPopY1MtT3Hsd7YRN8JHNpZDWUAqDQBYm,2020-01-15 23:56:09,2023-08-01 04:16:09,15/22,15,
15,TJAcz547H7FTGCQrgkbtHib5h8f5gR2kuc,,,15/22,16,
16,TJnYxvBHyoZT9GsGGaHzeQxvrGz743k1gq,2021-06-23 05:46:33,2022-02-01 10:43:36,15/22,17,
17,TJqh7J9MnPMSG6cotxBYUsNdQ6eufk8W32,2021-12-30 15:07:15,2021-12-30 16:06:00,15/22,18,
18,TLmB5EYj3Uy1TBgipSSkNiTkp5HVe7qveS,2021-12-20 11:38:33,2023-07-15 07:26:18,15/22,19,
19,TM8PjCzv71EakELjVHoqsZY2aRHoPU8nr5,2021-03-21 14:08:42,2022-08-05 08:58:57,15/22,20,
20,TMJRvUAwpdw67vNuQFH15q34zK3myPgFRy,2021-06-19 09:11:57,2023-03-31 10:46:12,15/22,21,
21,TMYPgVHM61QdY73ttgEKstbSR3vqoXEcZ9,2021-04-30 22:40:00,2022-01-21 09:18:45,15/22,22,
22,TN5fXzNhGW3vCUijECnXgiXhChqLJA4Da4,2021-08-06 08:24:30,2022-12-14 12:40:15,15/22,23,
23,TPAcMFqkaVufH3wNso1Jdvm8HzUnK46PWM,2022-12-09 23:49:00,2022-12-10 07:49:48,15/22,24,
24,TPCQLRv6Bepnd5oPhXtrs1iHpSLchuHAso,2021-08-11 19:37:51,2022-09-27 07:34:36,15/22,25,
25,TPxCncCWLUtRm2ga6NMrPKfumKuQ3zoWXR,2021-06-22 12:46:30,2021-06-22 13:34:09,15/22,26,
26,TQimtt6MmASiLDEsKsfDDaDq5CFRE2BY1F,2020-08-10 09:10:57,2023-06-20 20:05:33,15/22,27,
27,TR2nTb64cQMx6tqFwisoC6o7barFWHhPiw,2021-10-10 22:05:57,2023-03-30 14:58:51,15/22,28,appears in ASO 19/23 also
28,TR2nTb64cQMx6tqFwisoC6o7barFWHhPiw,2021-10-10 22:05:57,2023-03-30 14:58:51,19/23,2,appears in ASO 15/22 also
29,TRAvfmzQNsBAeGaDP9gr5qecGMDqWMo5zn,2022-04-20 05:03:06,2023-07-26 02:26:36,15/22,29,
30,TRjQM4W7YqJZmn41itcETFYQ1Gy4LddTSR,2021-07-12 09:56:45,2022-06-25 03:27:12,15/22,30,not in Anton's list b/c copy from OG pdf is wrong
31,TRkrud54UMLhidM3SdwbEeneTyi42UEcUP,2021-06-23 22:36:30,2023-07-15 11:55:27,15/22,31,
32,TRWpS2JarmZShhQLTfHafnzkQdNKUh1ozK,2021-11-09 18:25:00,2023-02-22 11:14:00,15/22,32,
33,TT7Fes7ErX3JvE71snmbo8PkE8R4NZpMYe,2021-03-21 15:06:06,2023-02-26 13:13:30,15/22,33,
34,TT9z1K9NT3XmMmvC1CaH3U76GFYi3FS1Zt,2021-03-21 17:05:30,2021-12-18 15:39:12,15/22,34,
35,TTH3XRSyi4dzBevbUysP6xesoxkU1tNS4T,2022-01-12 13:19:03,2022-05-25 12:26:39,15/22,35,not in Anton's list b/c copy from OG pdf is wrong
36,TTnsCooyH7udWbwbybr82BVWEudyHvKvHb,,,15/22,36,
37,TU7N89rqSzYdTpj7tkq98zhmheT9tU1uzY,2021-06-13 11:43:12,2022-01-30 23:09:06,15/22,37,
38,TUig7bV2axB8LvbMqEXauPAuhMFQnTLhZW,2021-12-08 08:24:51,2023-10-04 03:48:42,15/22,38,
39,TUWR8ZhFrCeNg6NX9TDkHspGAgZX56E8Dk,,,15/22,39,
40,TVCtcB4BM8n756v7BHB22kqnP6mHyq8VBN,2021-07-22 20:31:51,2022-12-10 03:26:30,15/22,40,
41,TVXy9j3MHePgN3ydyr3D8NojB5RLD3AcRs,2021-08-09 11:55:39,2022-12-31 10:02:57,15/22,41,
42,TXdNFmv2wngkc9WT4sT9HdFgVWbYyfX21L,2021-03-10 20:04:57,2022-02-05 23:22:42,15/22,42,
43,TXPggkiHzYZofVqpzMDS19ePG6qmcnu3gq,2021-02-23 08:01:30,2023-07-28 08:32:36,15/22,43,
44,TXQyMhsxZfcGqPdi1TAYWJ5bVkcVyR2ye9,2021-10-31 14:53:03,2021-12-11 19:35:06,15/22,44,
45,TXRBsytHfJDoAKRdcedgLsoHudh1xJGUdC,2021-08-03 17:44:33,2022-10-26 03:18:36,15/22,45,
46,TXs56ZWCpZ7yBBhDZ8J8tFqc9y31Ra9RHC,2021-07-17 13:37:00,2023-02-03 12:40:06,15/22,46,
47,TZ1bLdAGQPH9cQkR372TGZJ99fjBi1juTQ,2021-05-12 08:32:57,2022-12-14 03:51:24,15/22,47,
48,TRwvSmistRy7vK8mq2xpPA85fj9wRJKcUB,2022-01-15 16:34:48,2023-03-02 13:46:06,19/23,1,
49,TKcPMYyy2BkVCUEoLgh22KnhzYPuYJt7hv,,,19/23,3,
50,TDnytyeHuRrpQ2wbpDot8io92bHs78XrMv,2022-04-05 12:37:27,2022-04-05 12:47:24,19/23,4,
51,TQn9oh6Mw6jLfgzh23AVHsCcfC9ZE41fne,2022-12-25 18:40:06,2023-04-24 13:16:36,19/23,5,
52,TCWMveoWyAwkCthHC43nfgbtmAfPGXYhQD,2022-11-17 13:45:51,2023-08-05 07:40:21,34/23,1,
53,TDAegnxRRBVuRFJ1tkpmignshcu12nfoQF,2022-02-07 14:13:18,2023-04-24 08:43:51,34/23,2,5991
54,TFS7HvL8Y7zWoSR6FroD9SGiKCpWTZLLLX,2022-04-28 18:31:21,2022-04-28 18:34:30,34/23,3,
55,TGSv6fGeiZbWA1jBdsgkGLumtqp4wFXxzq,2022-09-04 16:32:00,2022-12-16 03:06:12,34/23,4,
56,THBPKbkuVSxNG7cq8bAvicrTm2YpMMZVKQ,2021-08-01 16:19:45,2022-04-23 17:50:54,34/23,5,
57,TJZnMKRAXWqhewxDUGvsfaoe8exUjHPwA6,2022-05-04 17:18:06,2022-07-27 19:36:12,34/23,6,
58,TM45NsDQ1YUMMHosa2uK5FZbxxggNzxSys,2021-08-14 19:22:27,2023-01-21 11:07:27,34/23,7,
59,TMmEYcSL4KhzJuYpRH16aLsG16YoFyYKUq,2021-11-06 20:56:09,2023-07-30 14:07:09,34/23,8,appears in ASO 29/23 also
60,TNT8WTuCoPwuYzScrHwbv5Wzw9XBwu9u3q,2022-03-25 11:22:42,2023-03-07 07:59:30,34/23,9,
61,TPpRxpTw3Mn71rHzStQfjHB369zxHYqQiz,2022-01-08 02:11:30,2023-07-12 17:51:27,34/23,10,
62,TQ4HeWsnzXexz2UKY3Ef94xg3rnWkawirR,2021-11-01 07:33:18,2023-07-07 14:10:36,34/23,11,18358
63,TQLoZxoAu2arL3jCyz5ToZf4gqkmvXxtTy,2022-05-09 03:28:33,2022-05-09 03:31:27,34/23,12,
64,TSgiPLeKKTd6vQa2aLfb1QFmNV9DW52xYK,2021-12-18 11:18:24,2023-05-26 04:10:15,34/23,13,
65,TU3bxJ7FRpwsfwwc7bQLa9Jr89e7UzWB3m,2022-02-25 22:20:36,2023-07-16 11:51:30,34/23,14,3828 Y!
66,TUtw7GQJssJ6WtBE1J2xKks7VimKP8m587,2021-12-26 10:25:57,2022-12-05 08:25:03,34/23,15,15331
67,TVzsknku8cubpukTmUVn5Ro747Bgw3GS63,2021-08-28 11:47:57,2023-07-27 07:59:39,34/23,16,9530
